    INFO: 2026-05-31 21:26:58,559:               log.py:   20: Logging to D:\pdd\mdpdf.log
   DEBUG: 2026-05-31 21:26:58,559:               cli.py:  103: d:\pdd\PROJECT_DOCUMENTATION.md
    INFO: 2026-05-31 21:26:58,570:         converter.py:   14: d:\pdd\PROJECT_DOCUMENTATION.md
   DEBUG: 2026-05-31 21:26:58,593:      pdf_renderer.py:  470: printSegment: 🏥 TMS — Telemedicine Management System
   DEBUG: 2026-05-31 21:26:58,743:      pdf_renderer.py:  470: printSegment: Complete Project Documentation 
   DEBUG: 2026-05-31 21:26:58,743:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-05-31 21:26:58,743:      pdf_renderer.py:  470: printSegment:  Presentation Guide
   DEBUG: 2026-05-31 21:26:58,743:      pdf_renderer.py:  470: printSegment: 📑 TABLE OF CONTENTS
   DEBUG: 2026-05-31 21:26:58,893:      pdf_renderer.py:  470: printSegment:  1 
   DEBUG: 2026-05-31 21:26:58,893:      pdf_renderer.py:  470: printSegment: Project Overview
   ERROR: 2026-05-31 21:26:58,893:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:9: #1-project-overview: No such file or directory
   DEBUG: 2026-05-31 21:26:58,893:      pdf_renderer.py:  470: printSegment:  2 
   DEBUG: 2026-05-31 21:26:58,907:      pdf_renderer.py:  470: printSegment: Problem Statement
   ERROR: 2026-05-31 21:26:58,907:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:10: #2-problem-statement: No such file or directory
   DEBUG: 2026-05-31 21:26:58,907:      pdf_renderer.py:  470: printSegment:  3 
   DEBUG: 2026-05-31 21:26:58,908:      pdf_renderer.py:  470: printSegment: Objectives
   ERROR: 2026-05-31 21:26:58,909:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:11: #3-objectives: No such file or directory
   DEBUG: 2026-05-31 21:26:58,909:      pdf_renderer.py:  470: printSegment:  4 
   DEBUG: 2026-05-31 21:26:58,910:      pdf_renderer.py:  470: printSegment: Tech Stack
   ERROR: 2026-05-31 21:26:58,911:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:12: #4-tech-stack: No such file or directory
   DEBUG: 2026-05-31 21:26:58,911:      pdf_renderer.py:  470: printSegment:  5 
   DEBUG: 2026-05-31 21:26:58,912:      pdf_renderer.py:  470: printSegment: System Architecture
   ERROR: 2026-05-31 21:26:58,913:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:13: #5-system-architecture: No such file or directory
   DEBUG: 2026-05-31 21:26:58,913:      pdf_renderer.py:  470: printSegment:  6 
   DEBUG: 2026-05-31 21:26:58,913:      pdf_renderer.py:  470: printSegment: Project Structure
   ERROR: 2026-05-31 21:26:58,914:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:14: #6-project-structure: No such file or directory
   DEBUG: 2026-05-31 21:26:58,914:      pdf_renderer.py:  470: printSegment:  7 
   DEBUG: 2026-05-31 21:26:58,915:      pdf_renderer.py:  470: printSegment: Database Design
   ERROR: 2026-05-31 21:26:58,915:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:15: #7-database-design: No such file or directory
   DEBUG: 2026-05-31 21:26:58,915:      pdf_renderer.py:  470: printSegment:  8 
   DEBUG: 2026-05-31 21:26:58,916:      pdf_renderer.py:  470: printSegment: Backend — Detailed Breakdown
   ERROR: 2026-05-31 21:26:58,931:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:16: #8-backend--detailed-breakdown: No such file or directory
   DEBUG: 2026-05-31 21:26:58,931:      pdf_renderer.py:  470: printSegment:  9 
   DEBUG: 2026-05-31 21:26:58,933:      pdf_renderer.py:  470: printSegment: Frontend — Detailed Breakdown
   ERROR: 2026-05-31 21:26:58,933:      pdf_renderer.py:  217: d:\pdd\PROJECT_DOCUMENTATION.md:17: #9-frontend--detailed-breakdown: No such file or directory
   DEBUG: 2026-05-31 21:26:58,933:      pdf_renderer.py:  470: printSegment:  10 
   DEBUG: 2026-05-31 21:26:58,935:      pdf_renderer.py:  470: printSegment: Authentication 
   DEBUG: 2026-05-31 21:26:58,935:      pdf_renderer.py:  470: printSegment: &
   DEBUG: 2026-05-31 21:26:58,935:      pdf_renderer.py:  470: printSegment:  Security
